timestep	potential_energy	temperature
0	213578.6438	0.8026674416
500	72392.3241	2.907722301
1000	61735.38644	1.121145369
1500	60138.00978	0.854086858
2000	59746.95404	0.8175147695
2500	59576.06979	0.8161879237
3000	59640.25889	0.792793224
3500	59504.4641	0.7963948132
4000	59472.42149	0.7848346888
4500	59403.00881	0.8139880061
5000	59488.99314	0.8106274684
5500	59443.43812	0.8214574049
6000	59416.71137	0.8085802542
6500	59389.10864	0.80515884
7000	59288.22798	0.789065223
7500	59199.86579	0.8006215846
8000	59386.52404	0.8180985312
8500	59251.08737	0.8232264508
9000	59451.30977	0.8005869013
9500	59474.44726	0.816222729
10000	59288.12101	0.8226831212
10500	59288.79633	0.8155505314
11000	59288.26212	0.8049574315
11500	59343.21691	0.8154417251
12000	59337.27723	0.8020079984
12500	59377.28653	0.8017750257
13000	59291.5274	0.8139347808
13500	59192.79375	0.7932834256
14000	59220.10111	0.8013815254
14500	59261.6056	0.7947395715
15000	59236.571	0.807460091
15500	59365.45643	0.8076208219
16000	59137.29381	0.8334108814
16500	59246.26066	0.8186508435
17000	59243.00244	0.8000284782
17500	59256.68683	0.8005213988
18000	59256.52672	0.809571112
18500	59192.82762	0.819501132
19000	59126.559	0.800197101
19500	59144.86418	0.8159381435
20000	59178.51325	0.7964739445
20500	59224.54056	0.799899763
21000	59058.59029	0.8136712057
21500	59137.08278	0.8007276219
22000	59196.97097	0.8046740575
22500	59015.05356	0.798398676
23000	59275.14252	0.8063209471
23500	59144.44466	0.8067964478
24000	59116.13392	0.8062813801
24500	59070.02762	0.8081270457
25000	59097.19709	0.8073089525
25500	59200.7455	0.7891779312
26000	59135.8863	0.807349622
26500	59086.70243	0.7956524129
27000	59147.08893	0.8038722189
27500	59165.72135	0.8024107381
28000	59093.14236	0.8125055915
28500	59091.48145	0.790471255
29000	59244.81713	0.8172907078
29500	59073.45738	0.7963594729
30000	59091.84101	0.7943591784
30500	59286.47676	0.8270225053
31000	59188.75867	0.7922110458
31500	59128.93818	0.8151420163
32000	59272.10606	0.7919208461
32500	59150.7804	0.7995575961
33000	59166.15361	0.8155291716
33500	59080.867	0.8034109606
34000	59049.4271	0.8226792364
34500	59136.85813	0.804183882
35000	59137.03447	0.7992637202
35500	59136.8111	0.7947963771
36000	59133.03273	0.7961150757
36500	59073.40581	0.8108736242
37000	59115.61789	0.7867295433
37500	59168.8023	0.7961956415
38000	59248.79772	0.802367679
38500	59042.41133	0.8175255323
39000	59019.10841	0.802982894
39500	59139.80643	0.8201731743
40000	59109.2393	0.8023542714
40500	59171.23076	0.8102719079
41000	59162.71893	0.7956085987
41500	59131.59467	0.793865611
42000	59068.08419	0.7964411433
42500	59061.32649	0.8040075162
43000	59087.0421	0.786905403
43500	59083.41272	0.8034149837
44000	59121.37431	0.8113886564
44500	59212.68122	0.8101235261
45000	59093.35173	0.8182021362
45500	59277.90855	0.8088205191
46000	59217.6703	0.8128951913
46500	59151.35116	0.8263327031
47000	59305.65186	0.8047636386
47500	59056.26623	0.8041092448
48000	59073.50962	0.8099426964
48500	59148.1023	0.8020886595
49000	59169.69454	0.8177214885
49500	59092.46602	0.8096839312
